date Germany India Singapore Norway Netherlands
2020-09-15 261762 5020359 57488 12393 90215
2020-09-16 263663 5118253 57514 12498 92178
2020-09-17 265857 5214677 57532 12644 94236
2020-09-18 267773 5308014 57543 12769 96232
2020-09-19 270070 5400619 57558 12858 98105
2020-09-20 271415 5487580 57576 12897 100434
2020-09-21 272337 5562663 57606 13005 102736
2020-09-22 274158 5646010 57627 13153 105201
2020-09-23 275927 5732518 57639 13277 107848
2020-09-24 278070 5818570 57654 13406 110676
2020-09-25 280223 5903932 57665 13545 113471
2020-09-26 282730 5992532 57685 13627 116513
2020-09-27 284140 6074702 57700 13698 119473
2020-09-28 285332 6145291 57715 13788 122520
2020-09-29 287421 6225763 57742 13915 125914
2020-09-30 289219 6312584 57765 14027 129240
2020-10-01 291722 6394068 57784 14149 133108
2020-10-02 294395 6473544 57794 14284 137133
2020-10-03 296958 6549373 57800 14362 141197
2020-10-04 299237 6623815 57812 14457 145805
2020-10-05 300619 6685082 57819 14605 150365
2020-10-06 303258 6757131 57830 14784 155402
2020-10-07 306086 6835655 57840 15013 161287
2020-10-08 310144 6906151 57849 15221 167303
2020-10-09 314660 6979423 57859 15388 173847
2020-10-10 319381 7053806 57866 15466 180267
2020-10-11 322864 7120538 57876 15524 187133
2020-10-12 325331 7175880 57880 15639 194516
2020-10-13 329453 7239389 57884 15793 201878
2020-10-14 334585 7307097 57889 15953 209733
2020-10-15 341223 7370468 57892 16137 217783
2020-10-16 348557 7432680 57901 16272 225935
2020-10-17 356387 7494551 57904 16369 234152
2020-10-18 361974 7550273 57911 16457 242195
2020-10-19 366299 7597063 57915 16603 250382
2020-10-20 373167 7651107 57921 16772 259154
2020-10-21 380762 7706946 57933 16964 268478
2020-10-22 392049 7761312 57941 17234 278513
2020-10-23 403291 7814682 57951 17532 287197
2020-10-24 418005 7864811 57965 17749 297431
2020-10-25 429181 7909959 57970 17909 307809
2020-10-26 437866 7946429 57973 18342 318123
2020-10-27 449275 7990322 57980 18666 326254
2020-10-28 464239 8040203 57987 19069 336572
2020-10-29 481013 8088851 57994 19564 347748
2020-10-30 499694 8137119 58003 20062 357605
2020-10-31 518753 8184082 58015 20331 366323
2020-11-01 532930 8229313 58019 20635 374637
2020-11-02 545027 8267623 58020 21339 382406
2020-11-03 560379 8313876 58029 21956 390073
2020-11-04 577593 8364086 58036 22578 397085
2020-11-05 597583 8411724 58043 23229 404354
2020-11-06 619089 8462080 58047 23835 411063
2020-11-07 642488 8507754 58054 24243 416771
2020-11-08 658505 8553657 58056 24732 421486
2020-11-09 671868 8591730 58064 25325 426170
2020-11-10 687200 8636011 58073 25887 431634
2020-11-11 705687 8683916 58091 26511 437330
2020-11-12 727553 8728795 58102 27228 443467
2020-11-13 751095 8773479 58114 27916 449447
2020-11-14 773556 8814579 58116 28434 454914
2020-11-15 790503 8845127 58119 28434 459791
2020-11-16 801327 8874290 58124 28434 464139
2020-11-17 815746 8912907 58130 30114 468814
2020-11-18 833307 8958483 58135 30770 474545
2020-11-19 855916 9004365 58139 31441 480574
2020-11-20 879564 9050597 58143 32014 486719
2020-11-21 902528 9095806 58148 32352 492208
2020-11-22 918269 9139865 58160 32765 497463
2020-11-23 929133 9177840 58165 33183 501427
2020-11-24 942687 9222216 58183 33717 506412
2020-11-25 961320 9266705 58190 34268 511027
2020-11-26 983588 9309787 58195 34748 516905
2020-11-27 1006394 9351109 58199 35193 521504
2020-11-28 1028089 9392919 58205 35546 527224
2020-11-29 1042700 9431691 58213 35828 531904
2020-11-30 1053869 9462809 58218 36150 535975
2020-12-01 1067473 9499413 58228 36591 541050
2020-12-02 1084743 9534964 58230 36969 546844
2020-12-03 1106789 9571559 58239 37371 552856
2020-12-04 1130238 9608211 58242 37801 559561
2020-12-05 1153556 9644222 58255 38073 566495
2020-12-06 1171323 9677203 58260 38323 573695
2020-12-07 1183655 9703770 58273 38703 579896
2020-12-08 1197709 9735850 58285 39163 586525
2020-12-09 1218524 9767371 58291 39525 595363
2020-12-10 1242203 9796744 58297 40023 604311
2020-12-11 1272078 9826775 58305 40439 613532
2020-12-12 1300516 9857029 58313 40803 623514
2020-12-13 1320716 9884100 58320 41003 632024
2020-12-14 1337078 9906165 58325 41334 638718
2020-12-15 1351510 9932547 58341 41852 649970
2020-12-16 1379238 9956557 58353 42312 662851
2020-12-17 1406161 9979447 58377 42776 674874
2020-12-18 1439938 10004599 58386 43207 687184
2020-12-19 1471238 10031223 58403 43582 700282
2020-12-20 1494009 10055560 58422 43905 711490
2020-12-21 1510652 10075116 58432 44336 721350
2020-12-22 1530180 10099066 58461 44932 731817
2020-12-23 1554920 10123778 58482 45455 743401
2020-12-24 1587115 10146845 58495 45931 754980
2020-12-25 1612648 10169118 58509 46248 764886
2020-12-26 1627103 10187850 58519 46678 773987
2020-12-27 1640858 10207871 58524 47059 781424
2020-12-28 1651834 10224303 58529 47585 788969
2020-12-29 1664726 10244852 58542 48278 798457
2020-12-30 1687185 10266674 58569 49010 808273
2020-12-31 1719737 10286709 58599 49567 816565
2021-01-01 1742661 10305788 58629 49803 825217
2021-01-02 1755351 10323965 58662 50266 832647
2021-01-03 1765666 10340469 58697 50716 839265
2021-01-04 1775513 10356844 58721 51245 845654
2021-01-05 1787410 10374932 58749 52180 852921
2021-01-06 1808647 10395278 58780 52967 862687
2021-01-07 1835038 10413417 58813 53792 870929
2021-01-08 1866887 10413417 58836 54476 878384
2021-01-09 1891581 10450284 58865 54919 885055
2021-01-10 1908527 10466595 58907 55474 890514
2021-01-11 1921024 10479179 58929 55903 895438
2021-01-12 1933826 10495147 58946 56615 901629
2021-01-13 1953426 10512093 58984 57282 908206
2021-01-14 1978590 10527683 59029 57736 914315
2021-01-15 2000958 10542841 59059 58202 919648
2021-01-16 2019636 10557985 59083 58445 925310
2021-01-17 2033518 10571773 59113 58651 930109
2021-01-18 2040659 10581823 59127 59034 934419
2021-01-19 2052028 10595639 59157 59456 940033
2021-01-20 2068002 10610883 59197 59887 945880
2021-01-21 2088400 10625428 59235 60259 951692
2021-01-22 2106262 10639684 59250 60565 957161
2021-01-23 2122679 10654533 59260 60803 962104
2021-01-24 2134936 10667736 59308 61082 966170
2021-01-25 2141665 10676838 59352 61315 970111
2021-01-26 2148077 10689527 59366 61594 974882
2021-01-27 2161275 10701193 59391 61961 979631
2021-01-28 2178828 10720048 59425 62276 984052
2021-01-29 2192850 10733130 59449 62575 988293
2021-01-30 2205171 10746174 59507 62793 992050
2021-01-31 2216363 10757610 59536 62966 995263
2021-02-01 2221971 10766245 59565 63262 998861
2021-02-02 2228085 10777284 59584 63553 1002937
2021-02-03 2237790 10790183 59602 63839 1007203
2021-02-04 2252001 10802591 59624 64212 1011589
2021-02-05 2264909 10814304 59649 64483 1015711
2021-02-06 2275394 10826363 59675 64653 1019691
2021-02-07 2284010 10838194 59699 64772 1021941
2021-02-08 2288545 10847304 59721 65118 1023710
2021-02-09 2291924 10858371 59732 65338 1026962
2021-02-10 2299996 10871294 59747 65547 1031417
2021-02-11 2310233 10880603 59759 65811 1035795
2021-02-12 2320093 10892746 59777 66236 1040035
2021-02-13 2328447 10904940 59786 66392 1043517
2021-02-14 2334561 10916589 59800 66501 1046351
2021-02-15 2338987 10925710 59809 66854 1049082
